ACCTAGE,AGE,ATM,ATMAMT,BRANCH,CASHBK,CC,CCBAL,CCPURC,CD,CDBAL,CHECKS,CRSCORE,DDA,DDABAL,DEP,DEPAMT,DIRDEP,HMOWN,HMVAL,ILS,ILSBAL,INAREA,INCOME,INV,INVBAL,IRA,IRABAL,LOC,LOCBAL,LORES,MM,MMBAL,MMCRED,MOVED,MTG,MTGBAL,NSF,NSFAMT,PHONE,POS,POSAMT,RES,SAV,SAVBAL,SDB,TELLER,id,INS
2.7,27.0,1.0,4116.77,B7,0.0,1.0,0.0,0.0,0.0,0.0,4.0,655.0,1.0,3734.81,2.0,3419.17,0.0,0.0,161.0,0.0,0.0,1.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,1.0,451,0.0
2.7,45.0,0.0,0.0,B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,1.0,789.23,0.0,0.0,0.0,0.0,110.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,0.0,0.0,0.0,0.0,6122,0.0
3.0,,1.0,1800.85,B15,0.0,,,,0.0,0.0,16.0,685.0,1.0,5859.17,5.0,3141.83,1.0,1.0,,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,95361.75,1.0,11.95,,,,U,1.0,2403.95,0.0,4.0,5640,1.0
1.7,57.0,0.0,0.0,B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.0,0.0,0.0,0.0,0.0,0.0,1.0,94.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,810,0.0
2.0,37.0,1.0,0.0,B1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,618.0,1.0,247.64,3.0,558.42,0.0,1.0,83.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.26,R,1.0,29.19,0.0,0.0,22,0.0
2.6,,1.0,11134.93,B2,1.0,1.0,275158.33,2.0,0.0,0.0,4.0,696.0,1.0,597.06,4.0,5186.38,0.0,1.0,,1.0,10481.43,1.0,,0.0,0.0,0.0,0.0,1.0,380.47,,1.0,15587.39,0.0,0.0,1.0,248628.94,1.0,9.14,0.0,1.0,97.05,S,0.0,0.0,0.0,0.0,7832,1.0
3.7,63.0,1.0,496.14,B7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,617.0,1.0,43.79,5.0,709.04,1.0,1.0,112.0,0.0,0.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.44,0.0,0.0,0.0,U,1.0,72.76,0.0,0.0,9797,0.0
3.8,40.0,0.0,0.0,B16,0.0,1.0,22716.17,1.0,0.0,0.0,0.0,668.0,1.0,11222.08,1.0,2363.38,0.0,1.0,118.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,22959.08,0.0,0.0,1.0,22839.22,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,3.0,720,0.0
5.2,54.0,0.0,0.0,B15,0.0,,,,0.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,1.0,77.0,,,0.0,0.0,0.0,0.0,5.0,1.0,14812.95,1.0,0.0,0.0,0.0,0.0,0.0,,,,R,0.0,0.0,0.0,0.0,7438,0.0
17.3,48.0,0.0,0.0,B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,1.0,1040.87,2.0,425.74,1.0,1.0,99.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,1.0,1878,0.0
