ACCTAGE,AGE,ATM,ATMAMT,BRANCH,CASHBK,CC,CCBAL,CCPURC,CD,CDBAL,CHECKS,CRSCORE,DDA,DDABAL,DEP,DEPAMT,DIRDEP,HMOWN,HMVAL,ILS,ILSBAL,INAREA,INCOME,INV,INVBAL,IRA,IRABAL,LOC,LOCBAL,LORES,MM,MMBAL,MMCRED,MOVED,MTG,MTGBAL,NSF,NSFAMT,PHONE,POS,POSAMT,RES,SAV,SAVBAL,SDB,TELLER,id,INS
0.3,34.0,1.0,166.17,B4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,592.0,1.0,156.9,1.0,290.68,0.0,0.0,125.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,5.0,3947,0.0
4.7,43.0,0.0,0.0,B16,0.0,1.0,220387.69,1.0,0.0,0.0,0.0,675.0,1.0,14.06,1.0,1024.09,0.0,1.0,100.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,1.0,249318.05,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,4796,0.0
7.5,,1.0,518.22,B17,0.0,0.0,0.0,0.0,0.0,0.0,6.0,709.0,1.0,488.41,3.0,1390.94,1.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.32,7.0,2.0,68.84,S,1.0,23.1,0.0,2.0,7693,0.0
2.5,70.0,1.0,1459.89,B2,1.0,0.0,0.0,0.0,0.0,0.0,6.0,703.0,1.0,344.64,5.0,1840.7,1.0,1.0,90.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.38,1.0,5.0,103.84,S,1.0,23.36,0.0,0.0,7069,0.0
2.9,48.0,1.0,0.0,B4,0.0,1.0,61.23,0.0,0.0,0.0,0.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,177.07,S,1.0,10781.55,0.0,0.0,3858,1.0
3.9,,1.0,1672.45,B2,0.0,1.0,3200.87,1.0,0.0,0.0,2.0,645.0,1.0,153.12,3.0,1385.78,0.0,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,5731,0.0
10.8,63.0,1.0,138.78,B12,0.0,1.0,279.59,0.0,0.0,0.0,2.0,629.0,1.0,1741.85,2.0,5043.31,0.0,0.0,89.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,0.0,2806,1.0
4.5,,0.0,0.0,B2,0.0,1.0,0.0,0.0,1.0,20000.0,6.0,614.0,1.0,415.57,4.0,1792.47,1.0,,,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0.0,0.0,0.0,1.0,449,0.0
21.8,41.0,0.0,0.0,B17,0.0,1.0,625.77,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,0.0,0.0,0.0,0.0,915,1.0
2.1,41.0,0.0,0.0,B4,0.0,1.0,65.09,0.0,1.0,15600.0,3.0,617.0,1.0,1440.81,2.0,1115.92,0.0,0.0,115.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U,1.0,9456.42,0.0,4.0,1066,1.0
